200
Tipo 1; Farinha de Trigo; 6.0; 0.2; 7,20
Tipo 1; Feijão; 10.0; 0.2; 12,00
Tipo 1; Feijão Branco; 12.0; 0.2; 14,40
Tipo 1; Feijão Carioca; 11.0; 0.2; 13,20
Tipo 1; Feijão Preto; 10.5; 0.2; 12,60
Tipo 1; Fermento; 3.0; 0.3; 3,90
Tipo 1; Fubá; 4.0; 0.2; 4,80
Tipo 1; Gelatina; 3.0; 0.3; 3,90
Tipo 1; Geléia; 8.0; 0.3; 10,40
Tipo 1; Gengibre; 12.0; 0.4; 16,80
Tipo 1; Granola; 18.0; 0.3; 23,40
Tipo 1; Grão de Bico; 8.0; 0.25; 10,00
Tipo 1; Guaraná; 5.0; 0.6; 8,00
Tipo 1; Hambúrguer; 18.0; 0.25; 22,50
Tipo 1; Hidratante; 30.0; 0.4; 42,00
Tipo 1; Hortelã; 6.0; 0.4; 8,40
Tipo 1; Iogurte em Pó; 8.5; 0.3; 11,05
Tipo 1; Instantâneo; 3.5; 0.3; 4,55
Tipo 1; Juice; 8.0; 0.35; 10,80
Tipo 1; Ketchup; 6.0; 0.35; 8,10
Tipo 1; Kit Limpeza; 45.0; 0.25; 56,25
Tipo 1; Lasanha; 15.0; 0.3; 19,50
Tipo 1; Leite; 4.0; 0.2; 4,80
Tipo 1; Leite Condensado; 6.0; 0.3; 7,80
Tipo 1; Leite em Pó; 20.0; 0.25; 25,00
Tipo 1; Lentilha; 9.0; 0.2; 10,80
Tipo 1; Limão; 3.0; 0.3; 3,90
Tipo 1; Linguiça; 22.0; 0.3; 28,60
Tipo 1; Macarrão; 7.0; 0.25; 8,75
Tipo 1; Macarrão Integral; 8.5; 0.25; 10,62
Tipo 1; Macarrão Instantâneo; 3.0; 0.3; 3,90
Tipo 1; Maionese; 8.0; 0.3; 10,40
Tipo 1; Margarina; 6.0; 0.25; 7,50
Tipo 1; Massa de Tomate; 4.0; 0.25; 5,00
Tipo 1; Mel; 15.0; 0.4; 21,00
Tipo 1; Milho; 4.0; 0.2; 4,80
Tipo 1; Milho Enlatado; 4.5; 0.2; 5,40
Tipo 1; Mistura para Bolo; 5.0; 0.3; 6,50
Tipo 1; Molho Inglês; 5.5; 0.3; 7,15
Tipo 1; Mostarda; 4.0; 0.35; 5,40
Tipo 1; Mussarela; 25.0; 0.4; 35,00
Tipo 1; Nescau; 15.0; 0.3; 19,50
Tipo 1; Noz; 20.0; 0.35; 27,00
Tipo 1; Nuggets; 20.0; 0.25; 25,00
Tipo 1; Óleo; 8.0; 0.2; 9,60
Tipo 1; Óleo de Coco; 25.0; 0.3; 32,50
Tipo 1; Óleo de Girassol; 10.0; 0.2; 12,00
Tipo 1; Óleo de Soja; 7.0; 0.2; 8,40
Tipo 1; Orégano; 3.0; 0.4; 4,20
Tipo 1; Ovos; 10.0; 0.3; 13,00
Tipo 1; Pães; 8.0; 0.25; 10,00
Tipo 1; Papel Higiênico; 15.0; 0.2; 18,00
Tipo 1; Papel Toalha; 12.0; 0.25; 15,00
Tipo 1; Parafina; 6.0; 0.3; 7,80
Tipo 1; Pasta de Dente; 8.0; 0.3; 10,40
Tipo 1; Pimenta; 5.0; 0.4; 7,00
Tipo 1; Pipoca; 4.0; 0.3; 5,20
Tipo 1; Pizza; 25.0; 0.3; 32,50
Tipo 1; Polvilho; 3.0; 0.2; 3,60
Tipo 1; Presunto; 30.0; 0.35; 40,50
Tipo 1; Queijo; 20.0; 0.4; 28,00
Tipo 1; Queijo Processado; 12.0; 0.4; 16,80
Tipo 1; Quinoa; 25.0; 0.3; 32,50
Tipo 1; Refrigerante; 5.0; 0.6; 8,00
Tipo 1; Requeijão; 8.0; 0.3; 10,40
Tipo 1; Sabão; 15.0; 0.2; 18,00
Tipo 1; Sabão em Pó; 18.0; 0.25; 22,50
Tipo 1; Sabonete; 3.0; 0.3; 3,90
Tipo 1; Sal; 2.0; 0.15; 2,30
Tipo 1; Salame; 35.0; 0.4; 49,00
Tipo 1; Salsicha; 12.0; 0.3; 15,60
Tipo 1; Sardinha; 7.0; 0.3; 9,10
Tipo 1; Shampo; 25.0; 0.3; 32,50
Tipo 1; Soja; 8.0; 0.2; 9,60
Tipo 1; Suco; 6.0; 0.4; 8,40
Tipo 1; Suco em Pó; 4.0; 0.4; 5,60
Tipo 1; Talco; 8.0; 0.3; 10,40
Tipo 1; Tapioca; 5.0; 0.25; 6,25
Tipo 1; Tempero; 4.0; 0.4; 5,60
Tipo 1; Tempero Pronto; 5.0; 0.4; 7,00
Tipo 1; Tomate Seco; 15.0; 0.4; 21,00
Tipo 1; Torrada; 6.0; 0.3; 7,80
Tipo 1; Uva Passa; 12.0; 0.35; 16,20
Tipo 1; Vinagre; 3.5; 0.2; 4,20
Tipo 1; Vinagre Balsâmico; 12.0; 0.35; 16,20
Tipo 1; Vodka; 45.0; 0.4; 63,00
Tipo 1; Wafer; 5.0; 0.3; 6,50
Tipo 1; Whisky; 120.0; 0.3; 156,00
Tipo 1; Xampu; 25.0; 0.3; 32,50
Tipo 1; Yakult; 8.0; 0.25; 10,00
Tipo 1; Yacon; 10.0; 0.3; 13,00
Tipo 1; Zabaione; 6.0; 0.4; 8,40
Tipo 1; Açaí; 12.0; 0.4; 16,80
Tipo 1; Banana Chips; 8.0; 0.4; 11,20
Tipo 1; Castanha; 25.0; 0.35; 33,75
Tipo 1; Damasco; 18.0; 0.4; 25,20
Tipo 1; Espaguete; 8.0; 0.25; 10,00
Tipo 1; Flocão; 6.0; 0.2; 7,20
Tipo 1; Goiabada; 10.0; 0.3; 13,00
Tipo 1; Hickory; 15.0; 0.4; 21,00
Tipo 1; Iogurte; 5.0; 0.3; 6,50
Tipo 1; Jaca; 8.0; 0.3; 10,40
Tipo 1; Kiwi; 12.0; 0.4; 16,80
Tipo 1; Lasanha Instantânea; 10.0; 0.3; 13,00
Tipo 1; Maçã; 6.0; 0.3; 7,80
Tipo 1; Nhoque; 9.0; 0.3; 11,70
Tipo 1; Ovo de Chocolate; 15.0; 0.5; 22,50
Tipo 1; Paçoca; 8.0; 0.4; 11,20
Tipo 1; Quinua; 22.0; 0.3; 28,60
Tipo 1; Rabanete; 4.0; 0.3; 5,20
Tipo 1; Salada; 5.0; 0.3; 6,50
Tipo 1; Torrone; 12.0; 0.4; 16,80
Tipo 1; Uísque; 150.0; 0.3; 195,00
Tipo 1; Vitamina; 20.0; 0.4; 28,00
Tipo 1; Wasabi; 25.0; 0.5; 37,50
Tipo 1; Xarope; 8.0; 0.3; 10,40
Tipo 1; Yogurte; 6.0; 0.3; 7,80
Tipo 1; Zimbro; 30.0; 0.4; 42,00
Tipo 1; Alfafa; 8.0; 0.3; 10,40
Tipo 1; Brócolis; 6.0; 0.3; 7,80
Tipo 1; Cenoura; 4.0; 0.25; 5,00
Tipo 1; Dobradinha; 15.0; 0.3; 19,50
Tipo 1; Endívia; 8.0; 0.35; 10,80
Tipo 1; Farelo; 5.0; 0.2; 6,00
Tipo 1; Grãos; 12.0; 0.25; 15,00
Tipo 1; Hambúrguer Vegetariano; 20.0; 0.3; 26,00
Tipo 1; Inhame; 6.0; 0.25; 7,50
Tipo 1; Jiló; 4.0; 0.3; 5,20
Tipo 1; Kale; 8.0; 0.4; 11,20
Tipo 1; Linhaça; 12.0; 0.3; 15,60
Tipo 1; Maxixe; 5.0; 0.3; 6,50
Tipo 1; Nabo; 4.0; 0.25; 5,00
Tipo 1; Okra; 6.0; 0.3; 7,80
Tipo 1; Palmito; 10.0; 0.3; 13,00
Tipo 1; Quiabo; 5.0; 0.25; 6,25
Tipo 1; Rúcula; 6.0; 0.4; 8,40
Tipo 1; Salsão; 5.0; 0.3; 6,50
Tipo 1; Tofu; 15.0; 0.3; 19,50
Tipo 1; Urucum; 8.0; 0.4; 11,20
Tipo 1; Vagem; 6.0; 0.25; 7,50
Tipo 1; Wasabi em Pó; 30.0; 0.5; 45,00
